component,explained_variance_ratio,cumulative_explained_variance_ratio
553,4.406188385255149e-05,0.9950172633884756
554,4.3945742264365966e-05,0.99506120913074
555,4.3726072870773774e-05,0.9951049352036108
556,4.3546601476485506e-05,0.9951484818050873
557,4.341783099635501e-05,0.9951918996360837
558,4.29054221053674e-05,0.9952348050581891
559,4.272378950914894e-05,0.9952775288476983
560,4.2527090351038494e-05,0.9953200559380493
561,4.222459504342288e-05,0.9953622805330927
562,4.198436053516368e-05,0.9954042648936279
563,4.144803869095534e-05,0.9954457129323189
564,4.1300114542722815e-05,0.9954870130468616
565,4.116543416409853e-05,0.9955281784810257
566,4.087849655250771e-05,0.9955690569775782
567,4.0637057011905475e-05,0.9956096940345902
568,4.0460791511471514e-05,0.9956501548261016
569,4.024027382969064e-05,0.9956903950999313
570,3.992822642273024e-05,0.995730323326354
571,3.969809433648083e-05,0.9957700214206905
572,3.9546822508434385e-05,0.9958095682431989
573,3.9332793809615875e-05,0.9958489010370085
574,3.871772084035765e-05,0.9958876187578489
575,3.8609684997279354e-05,0.9959262284428462
576,3.811895362212974e-05,0.9959643473964683
577,3.796517729903959e-05,0.9960023125737674
578,3.781184206108439e-05,0.9960401244158285
579,3.736548637768237e-05,0.9960774899022061
580,3.7228946672797075e-05,0.9961147188488789
581,3.692918675160421e-05,0.9961516480356305
582,3.682782672258129e-05,0.996188475862353
583,3.664509415268682e-05,0.9962251209565057
584,3.6471042728721715e-05,0.9962615919992345
585,3.619958893527295e-05,0.9962977915881698
586,3.568879054269194e-05,0.9963334803787125
587,3.566938455312137e-05,0.9963691497632656
588,3.552832165738818e-05,0.9964046780849231
589,3.536543183533217e-05,0.9964400435167584
590,3.518318920484958e-05,0.9964752267059632
591,3.496454400499515e-05,0.9965101912499682
592,3.481607465178302e-05,0.99654500732462
593,3.4460736073687386e-05,0.9965794680606938
594,3.4215701263547574e-05,0.9966136837619572
595,3.4017025152572194e-05,0.9966477007871098
596,3.386582392873728e-05,0.9966815666110386
597,3.3559119147672226e-05,0.9967151257301863
598,3.328269482113975e-05,0.9967484084250074
599,3.317989271898885e-05,0.9967815883177265
600,3.290778870858679e-05,0.996814496106435
601,3.282081434382258e-05,0.9968473169207789
602,3.268775977594759e-05,0.9968800046805548
603,3.26134105525483e-05,0.9969126180911073
604,3.243759918491165e-05,0.9969450556902922
605,3.2226757915999966e-05,0.9969772824482083
606,3.200457234735163e-05,0.9970092870205556
607,3.179238010835161e-05,0.9970410794006639
608,3.1585658075109525e-05,0.997072665058739
609,3.14016815028052e-05,0.9971040667402419
610,3.1177260039086e-05,0.997135244000281
611,3.085390068177456e-05,0.9971660979009628
612,3.0811526892912554e-05,0.9971969094278557
613,3.048274516945721e-05,0.9972273921730251
614,3.0185800033284422e-05,0.9972575779730585
615,3.005149949641048e-05,0.9972876294725549
616,2.9875751668797905e-05,0.9973175052242237
617,2.947421676253925e-05,0.9973469794409863
618,2.9215130217920547e-05,0.9973761945712042
619,2.9087042328004394e-05,0.9974052816135321
620,2.855362641056331e-05,0.9974338352399427
621,2.843471264655355e-05,0.9974622699525892
622,2.8333796772996324e-05,0.9974906037493623
623,2.8251505286310224e-05,0.9975188552546486
624,2.813437773884325e-05,0.9975469896323874
625,2.7840246094748137e-05,0.9975748298784821
626,2.7586204580291513e-05,0.9976024160830624
627,2.740346916453027e-05,0.997629819552227
628,2.725235948597157e-05,0.9976570719117129
629,2.7102164287076292e-05,0.997684174076
630,2.707191871603642e-05,0.997711245994716
631,2.680746919872575e-05,0.9977380534639146
632,2.6546197548096286e-05,0.9977645996614627
633,2.6430648281799102e-05,0.9977910303097445
634,2.6246477459676534e-05,0.9978172767872041
635,2.615778953495863e-05,0.9978434345767391
636,2.585542440563185e-05,0.9978692900011447
637,2.5711269640079733e-05,0.9978950012707848
638,2.5588571397096203e-05,0.9979205898421819
639,2.5450925021281864e-05,0.9979460407672032
640,2.5086520253628887e-05,0.9979711272874568
641,2.4986983255404408e-05,0.9979961142707122
642,2.4812376086674494e-05,0.9980209266467989
643,2.4575123859769783e-05,0.9980455017706586
644,2.4464997521365407e-05,0.99806996676818
645,2.4264797403457832e-05,0.9980942315655835
646,2.420441542821865e-05,0.9981184359810117
647,2.399036826717891e-05,0.9981424263492789
648,2.3767760558832122e-05,0.9981661941098376
649,2.360124644206074e-05,0.9981897953562797
650,2.3401319198958554e-05,0.9982131966754787
651,2.337325837286384e-05,0.9982365699338516
